我非常爱你,wǒ fēi cháng ài nǐ,te quiero muchísimo
你今天怎么样,nǐ jīn tiān zěn me yàng,¿cómo estuvo su día?
很快再见,hěn kuài zài jiàn,nos vemos pronto
非常感谢,fēi cháng gǎn xiè,muchas gracias
你能帮我吗,nǐ néng bāng wǒ ma,¿me puedes ayudar?
现在几点了,xiàn zài jǐ diǎn le,¿que hora es ahora?
我现在不知道,wǒ xiàn zài bù zhī dào,no lo sé ahora
你要去哪里,nǐ yào qù nǎ lǐ,¿adónde vas?
我很开心,wǒ hěn kāi xīn,estoy muy feliz
请再来这里,qǐng zài lái zhè lǐ,por favor vuelve aquí.
你会说英语吗,nǐ huì shuō yīng yǔ ma,¿hablas inglés?
我需要一些帮助,wǒ xū yào yī xiē bāng zhù,necesito ayuda
我们去吃午饭吧,wǒ men qù chī wǔ fàn bā,vamos a almorzar.
她是我的朋友,tā shì wǒ de péng you,ella es mi amiga
她很聪明,tā hěn cōng ming,ella es muy inteligente
我们要回家了,wǒ men yào huí jiā le,nos vamos a casa.
我感觉不舒服,wǒ gǎn jué bù shū fu,me siento incómodo
这是我的家,zhè shì wǒ de jiā,esta es mi casa.
我会打电话给你,wǒ huì dǎ diàn huà gěi nǐ,te llamaré
天气很冷,tiān qì hěn lěng,hace mucho frío.
我太累了,wǒ tài lěi le,estoy tan cansado
我可以问点事吗,wǒ kě yǐ wèn diǎn shì ma,¿puedo preguntarte algo?
我喜欢这个地方,wǒ xǐ huan zhè ge dì fāng,me gusta este lugar
我们现在应该离开,wǒ men xiàn zài yīng gāi lí kāi,deberíamos irnos ahora
他是个好人,tā shì gè hǎo rén,él es una buena persona.