这是,zhè shì,esto es
儿子,ér zi,hijo
我的爸爸,wǒ de bà ba,mi papá
我的爸爸是中文老师。,wǒ de bà ba shì zhōng wén lǎo shī 。,mi papá es profesor de chino.
喜欢,xǐ huan,gustar
这是我的儿子,zhè shì wǒ de ér zi,este es mi hijo
老公,lǎo gong,marido
老婆,lǎo pó,esposa
我的儿子是律师。,wǒ de ér zi shì lǜ shī 。,mi hijo es abogado.
你的妈妈,nǐ de mā ma,tu madre
她是英国人。她说英文。,tā shì yīng guó rén 。 tā shuō yīng wén 。,ella es británica. ella habla inglés.
说,shuō,explicar
我的爸爸是医生。,wǒ de bà ba shì yī shēng 。,mi papá es médico.
对不对,duì bù duì,¿es correcto o incorrecto?
她的老公是美国人。,tā de lǎo gong shì měi guó rén 。,su marido es estadounidense.
课,kè,clase
音乐,yīn yuè,música
这是她的老公，对不对？,zhè shì tā de lǎo gong ， duì bù duì ？,"éste es su marido, ¿no?"
对！,duì ！,¡bien!
她的爸爸是英国人。,tā de bà ba shì yīng guó rén 。,su padre es británico.
他的老婆是英国人。,tā de lǎo pó shì yīng guó rén 。,su esposa es británica.
加拿大,jiā ná dà,canadá
他的妈妈是医生吗？,tā de mā ma shì yī shēng ma ？,¿su madre es doctora?
律师,lǜ shī,abogado
他的老婆是律师吗？,tā de lǎo pó shì lǜ shī ma ？,¿su esposa es abogada?
女儿,nǚ ér,hija
他的爸爸是加拿大人吗？,tā de bà ba shì jiā ná dà rén ma ？,¿su padre es canadiense?
我的女儿是老师。,wǒ de nǚ ér shì lǎo shī 。,mi hija es maestra.
中学生,zhōng xué shēng,estudiante de secundaria
对，我的儿子是中学生。,duì ， wǒ de ér zi shì zhōng xué shēng 。,"sí, mi hijo es un estudiante de secundaria."
你的女儿是中学生吗？,nǐ de nǚ ér shì zhōng xué shēng ma ？,¿tu hija es estudiante de secundaria?
也,yě,también
你也是老师吗？,nǐ yě shì lǎo shī ma ？,¿eres profesor también?
这是,zhè shì,esto es
我的女儿也是医生。,wǒ de nǚ ér yě shì yī shēng 。,mi hija también es médico.
这是我的儿子。他是学生。,zhè shì wǒ de ér zi 。 tā shì xué sheng 。,este es mi hijo. él es un estudiante.
对，这是我的爸爸。,duì ， zhè shì wǒ de bà ba 。,"sí, este es mi papá."
我的儿子是大学生。,wǒ de ér zi shì dà xué shēng 。,mi hijo es un estudiante universitario.
她的老公是英国人。,tā de lǎo gong shì yīng guó rén 。,su marido es británico.
你是韩国人吗？,nǐ shì hán guó rén ma ？,¿eres coreano?
"这是你的妈妈，对不对","zhè shì nǐ de mā ma ， duì bù duì ？","ésta es tu madre, ¿no?"