平等,píng děng,igualdad
人人平等,rén rén píng děng,todos somos iguales
平等与正密不可分。,píng děng yǔ zhèng mì bù kě fēn 。,la igualdad y la justicia son inseparables.
非常感谢,fēi cháng gǎn xiè,muchas gracias
你好,nǐ hǎo,hola
你好，我叫小月,nǐ hǎo ， wǒ jiào xiǎo yuè,"hola, mi nombre es xiaoyue."
谢谢,xiè xie,gracias
谢谢你,xiè xie nǐ,gracias
对不起,duì bu qǐ,lo siento
可是,kě shì,pero
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!
,,#VALUE!